"ds","y"
2022-06-03,119.21
2022-06-06,118.78
2022-06-07,118.32
2022-06-08,119.9
2022-06-09,118.2
2022-06-10,118.07
2022-06-14,118.98
2022-06-15,121.14
2022-06-16,123.73
2022-06-17,123.88
2022-06-20,131.29
2022-06-21,129.1
2022-06-22,133.11
2022-06-23,136.85
2022-06-24,137.76
2022-06-27,141.15
2022-06-28,139.99
2022-06-29,132.8
2022-06-30,125.2
2022-07-01,129.91
2022-07-04,131.43
2022-07-05,133.5
2022-07-06,134
2022-07-07,133.09
2022-07-08,133.3
2022-07-11,126.8
2022-07-12,129
2022-07-13,126
2022-07-14,125.9
2022-07-15,128.9
2022-07-18,128.11
2022-07-19,127.76
2022-07-20,126.44
2022-07-21,125.48
2022-07-22,128.82
2022-07-25,131.45
2022-07-26,132.9
2022-07-27,132.5
2022-07-28,131.72
2022-07-29,131.9
2022-08-01,127.34
2022-08-02,127.53
2022-08-03,126.85
2022-08-04,126.95
2022-08-05,122.4
2022-08-08,123.81
2022-08-09,126.4
2022-08-10,126.2
2022-08-11,123.45
2022-08-12,124.88
2022-08-15,125
2022-08-16,126.39
2022-08-17,124.5
2022-08-18,126.3
2022-08-19,125.2
2022-08-22,126.06
2022-08-23,130.38
2022-08-24,128.15
2022-08-25,128.18
2022-08-26,130.4
2022-08-29,131.17
2022-08-30,130.05
2022-08-31,134.25
2022-09-01,138.2
2022-09-02,143.8
2022-09-05,141
2022-09-06,137.23
2022-09-07,136.86
2022-09-08,134.51
2022-09-09,138.15
2022-09-12,138.7
2022-09-13,137
2022-09-14,138.9
2022-09-15,139.48
2022-09-16,137.73
2022-09-19,138.04
2022-09-20,125.1
2022-09-21,120.23
2022-09-22,124.31
2022-09-23,119.39
2022-09-26,107.06
2022-09-27,112.92
2022-09-28,111.06
2022-09-29,110.41
2022-09-30,110.21
2022-10-03,114.35
2022-10-04,110.55
2022-10-05,108.51
2022-10-06,108.24
2022-10-07,101.5
2022-10-10,106.71
2022-10-11,107.72
2022-10-12,105.9
2022-10-13,106.5
2022-10-14,107.78
2022-10-17,112.44
2022-10-18,110.88
2022-10-19,112.39
2022-10-20,116.98
2022-10-21,119.45
2022-10-24,118.8
2022-10-25,124.36
2022-10-26,124.43
2022-10-27,126.61
2022-10-28,126.97
2022-10-31,126.72
2022-11-01,127.05
2022-11-02,125.49
2022-11-03,125.75
2022-11-07,132
2022-11-08,131.29
2022-11-09,127.3
2022-11-10,136.68
2022-11-11,136.98
2022-11-14,139.8
2022-11-15,135.66
2022-11-16,139.18
2022-11-17,137.57
2022-11-18,136.89
2022-11-21,134.46
2022-11-22,135.65
2022-11-23,136.59
2022-11-24,136.61
2022-11-25,136.53
2022-11-28,135.53
2022-11-29,136.37
2022-11-30,136.78
2022-12-01,137.15
2022-12-02,136.66
2022-12-05,142
2022-12-06,140.61
2022-12-07,142.32
2022-12-08,139.92
2022-12-09,140.03
2022-12-12,139.48
2022-12-13,138.13
2022-12-14,137.3
2022-12-15,134.55
2022-12-16,135.45
2022-12-19,134.64
2022-12-20,138.28
2022-12-21,137.75
2022-12-22,137.69
2022-12-23,137.94
2022-12-26,140.95
2022-12-27,139.9
2022-12-28,139.51
2022-12-29,140.96
2022-12-30,141.15
2023-01-04,141.43
2023-01-05,141.27
2023-01-06,141.4
2023-01-09,142.4
2023-01-10,142.81
2023-01-11,149.96
2023-01-12,149.3
2023-01-13,151.69
2023-01-16,153.71
2023-01-17,150.45
2023-01-18,151.47
2023-01-19,149.34
2023-01-20,151.38
2023-01-23,153.5
2023-01-24,152.66
2023-01-25,152.81
2023-01-26,152.4
2023-01-27,153.2
2023-01-30,153.38
2023-01-31,158.07
2023-02-01,158.29
2023-02-02,159.45
2023-02-03,161.26
2023-02-06,167.09
2023-02-07,165.39
2023-02-08,164.15
2023-02-09,165.31
2023-02-10,165.52
2023-02-13,164.32
2023-02-14,161.86
2023-02-15,156.25
2023-02-16,158.22
2023-02-17,159.73
2023-02-20,160.09
2023-02-21,164.15
2023-02-22,163.37
2023-02-24,164.3
2023-02-27,169.95
2023-02-28,169.82
2023-03-01,170.53
2023-03-02,168.05
2023-03-03,171.16
2023-03-06,171.84
2023-03-07,174.01
2023-03-09,172.55
2023-03-10,172.53
2023-03-13,172.15
2023-03-14,175.71
2023-03-15,175.3
2023-03-16,175.45
2023-03-17,193.59
2023-03-20,203.73
2023-03-21,203.32
2023-03-22,202.89
2023-03-23,202.58
2023-03-24,203.57
2023-03-27,211.84
2023-03-28,214.03
2023-03-29,217.99
2023-03-30,216.87
2023-03-31,216.6
2023-04-03,216.09
2023-04-04,214.83
2023-04-05,216.15
2023-04-06,214.25
2023-04-07,216.27
2023-04-10,222.21
2023-04-11,218.6
2023-04-12,219.22
2023-04-13,219.85
2023-04-14,221.87
2023-04-17,228.1
2023-04-18,232.66
2023-04-19,232.95
2023-04-20,236.28
2023-04-21,235.17
2023-04-24,235.1
2023-04-25,235.3
2023-04-26,235.21
2023-04-27,240.38
2023-04-28,240.38
2023-05-02,242.62
2023-05-03,235.77
2023-05-04,238.89
2023-05-05,237.7
2023-05-08,238.27
2023-05-10,227.06
2023-05-11,229.32
2023-05-12,229.29
2023-05-15,231.7
2023-05-16,230.62
2023-05-17,230.55
2023-05-18,231.7
2023-05-19,231.27
2023-05-22,231
2023-05-23,236.43
2023-05-24,246.06
2023-05-25,243.76
2023-05-26,248.1
2023-05-29,251.18
2023-05-30,244.65
2023-05-31,246.17
2023-06-01,241.66
2023-06-02,243.95
2023-06-05,237.12
2023-06-06,240.91
2023-06-07,241.25
